zipcode,Households!!Total,Households!!Median income (dollars),Households!!Mean income (dollars),Families!!Total,Total!!Population for whom poverty status is determined,Total!!Population for whom poverty status is determined!!SEX!!Male,Total!!Population for whom poverty status is determined!!SEX!!Female,Below poverty level!!Population for whom poverty status is determined,Percent below poverty level!!Population for whom poverty status is determined,"Total number of housing units
",Total number of Occupied housing units,Total number of vacant housing units,Total population,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Some Other Race
13456,1539,90893,104867,1098,4103,2041,2062,266,6.5,1549,1539,10,4103,3858,34,0,65,2
13457,27,-,37493,7,38,23,15,13,34.2,55,27,28,38,38,0,0,0,0
13459,789,64115,75737,535,2031,977,1054,382,18.8,992,789,203,2034,1898,24,13,4,6
13460,1615,63316,79577,1246,4286,2224,2062,376,8.8,1923,1615,308,4286,3992,18,0,34,40
13461,1378,88103,94642,867,3026,1416,1610,208,6.9,1428,1378,50,3046,2810,0,5,83,0
13464,495,55711,60983,337,1135,600,535,139,12.2,704,495,209,1154,1103,1,1,0,3
13468,115,61979,65690,64,301,151,150,28,9.3,156,115,41,305,283,0,0,0,22
13469,441,108798,124962,265,1107,458,649,83,7.5,441,441,0,1107,1052,0,0,55,0
13470,263,64028,76333,177,771,395,376,276,35.8,621,263,358,771,745,0,0,0,0
13471,1041,67898,82125,788,2601,1227,1374,201,7.7,1232,1041,191,2692,2611,4,0,14,2
13472,115,-,81804,95,277,118,159,0,0,343,115,228,277,277,0,0,0,0
13473,411,100477,100836,346,1048,582,466,34,3.2,526,411,115,1060,971,5,0,0,74
13475,27,77917,104081,17,49,17,32,0,0,27,27,0,49,41,0,0,0,0
13476,1191,63480,79544,701,2520,1317,1203,224,8.9,1307,1191,116,2540,2413,50,0,19,9
13477,600,63500,116492,330,1461,769,692,170,11.6,640,600,40,1468,1455,0,0,0,0
13478,1436,77195,94347,954,3331,1816,1515,310,9.3,1547,1436,111,3331,3253,0,3,26,0
13480,1344,78125,91693,917,3373,1649,1724,203,6,1436,1344,92,3454,3255,5,0,23,19
13482,29,56477,61600,26,73,26,47,0,0,55,29,26,73,73,0,0,0,0
13483,130,113000,91257,121,385,214,171,58,15.1,174,130,44,405,395,5,0,0,5
13484,49,-,N,26,103,26,77,23,22.3,49,49,0,103,103,0,0,0,0
13485,557,67989,81521,398,1706,831,875,319,18.7,653,557,96,1715,1674,2,0,7,0
13486,308,84792,104593,193,685,326,359,85,12.4,386,308,78,691,613,0,0,0,0
13488,72,61250,67085,32,130,52,78,8,6.2,128,72,56,130,130,0,0,0,0
13489,188,87115,100853,124,508,283,225,10,2,255,188,67,508,494,0,0,6,0
13490,483,98750,122040,423,1346,832,514,0,0,483,483,0,1346,1339,0,0,0,0
13491,1298,72500,91241,875,3531,1659,1872,461,13.1,1526,1298,228,3570,3354,5,0,13,8
13492,4787,84543,106767,3160,11170,5241,5929,933,8.4,4983,4787,196,11233,10366,245,0,0,151
13493,828,60735,69380,546,2347,1264,1083,464,19.8,971,828,143,2355,2267,5,3,1,12
13494,127,100208,95372,89,312,175,137,9,2.9,559,127,432,312,241,0,0,21,0
13495,918,63517,79895,420,1808,947,861,91,5,965,918,47,1889,1766,2,0,20,0
13501,15230,49771,67465,9139,39298,19164,20134,11493,29.2,17071,15230,1841,40235,20505,6045,152,5594,2069
13502,13700,59530,75798,7703,31967,16066,15901,6414,20.1,15337,13700,1637,33241,24740,3296,33,1654,1344
13601,16401,57503,76542,9379,36173,18319,17854,6386,17.7,18653,16401,2252,37409,31161,1709,161,869,946
13602,0,-,-,0,0,0,0,0,-,6,0,6,2700,1460,512,47,199,157
13603,5106,64028,74931,4335,13936,7383,6553,1131,8.1,5329,5106,223,13973,9248,1578,173,569,723
13605,2013,70947,98053,1340,5090,2674,2416,368,7.2,2497,2013,484,5106,4659,175,10,4,6
13606,883,90694,98236,682,2341,1262,1079,338,14.4,930,883,47,2397,2339,10,1,1,0
13607,1070,58167,138388,556,2041,1142,899,153,7.5,2079,1070,1009,2061,1962,37,15,9,31
13608,712,75673,85111,542,1845,969,876,257,13.9,852,712,140,1845,1660,17,14,0,22
13611,123,54750,62700,94,265,115,150,5,1.9,201,123,78,265,265,0,0,0,0
13612,1239,67106,89138,778,2940,1472,1468,432,14.7,1458,1239,219,2940,2678,0,0,119,22
13613,1113,57026,73892,782,2711,1336,1375,549,20.3,1208,1113,95,2733,2650,12,19,0,0
13614,105,36250,51559,77,287,130,157,131,45.6,110,105,5,287,278,0,0,0,0
13615,239,78750,89354,175,534,244,290,19,3.6,297,239,58,538,502,20,0,0,2
13616,820,47110,62873,444,1560,664,896,331,21.2,820,820,0,1560,1312,129,0,0,20
13617,4423,72652,81547,2375,8824,4160,4664,1005,11.4,4645,4423,222,12294,10970,449,18,271,153
13618,762,61500,84893,469,1677,825,852,163,9.7,2244,762,1482,1696,1564,8,0,0,2
13619,4103,63549,82556,2762,10548,5287,5261,1665,15.8,4649,4103,546,10774,9225,268,7,91,318
13620,815,62574,69336,524,2150,970,1180,333,15.5,900,815,85,2150,2117,10,0,0,0
13621,255,63125,155561,199,683,335,348,310,45.4,345,255,90,683,681,0,0,0,0
13622,762,78136,98165,563,2066,974,1092,276,13.4,1335,762,573,2100,1905,92,0,9,0
13623,43,43977,49784,30,76,39,37,4,5.3,53,43,10,76,76,0,0,0,0
13624,1856,79167,108394,1066,3893,1968,1925,447,11.5,3431,1856,1575,4438,3819,312,33,39,100
13625,698,76711,90756,498,1689,843,846,170,10.1,1119,698,421,1689,1645,3,0,8,0
13626,933,75662,88136,696,2322,1299,1023,363,15.6,1167,933,234,2322,2172,11,3,9,0
13628,78,53750,63603,48,185,94,91,35,18.9,94,78,16,185,177,0,0,0,3
13630,412,67000,84357,304,1291,759,532,72,5.6,455,412,43,1307,1268,5,10,0,0
13632,24,-,N,14,128,56,72,10,7.8,46,24,22,128,128,0,0,0,0
13633,139,62917,67742,116,378,200,178,42,11.1,211,139,72,378,358,0,0,0,0
13634,1552,90461,100365,1179,3839,1933,1906,296,7.7,2046,1552,494,3866,3729,16,0,0,7
13635,438,74583,80022,321,1268,688,580,177,14,492,438,54,1283,1227,1,8,0,1
13636,56,52500,73650,42,184,83,101,37,20.1,56,56,0,184,178,1,0,2,0
13637,2248,62786,66950,1401,5164,2969,2195,748,14.5,2491,2248,243,5280,3571,686,2,17,143
13638,106,79750,84655,61,172,98,74,21,12.2,106,106,0,172,155,0,0,0,0
13639,20,21346,21090,4,23,19,4,3,13,25,20,5,23,23,0,0,0,0
13640,141,92422,103658,87,290,136,154,11,3.8,810,141,669,305,301,0,0,0,0
13641,43,58875,69902,27,69,29,40,0,0,252,43,209,69,69,0,0,0,0
13642,3591,47452,64685,2144,8098,4094,4004,1661,20.5,4214,3591,623,9018,7816,369,74,8,208
13643,10,-,N,10,20,20,0,20,100,10,10,0,20,20,0,0,0,0
13645,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
13646,851,67344,86924,599,2352,1199,1153,612,26,2236,851,1385,2373,2266,8,3,5,0
13647,68,-,53613,32,159,83,76,37,23.3,68,68,0,159,145,0,0,0,14
13648,956,65000,74352,620,2184,1079,1105,189,8.7,1719,956,763,2236,2114,0,7,0,0
13649,22,-,N,22,58,28,30,0,0,39,22,17,58,58,0,0,0,0
13650,584,91458,112990,465,1256,640,616,211,16.8,1514,584,930,1268,1150,6,0,17,13
13651,74,98333,115749,46,127,67,60,6,4.7,143,74,69,127,126,0,0,0,0
13652,643,65203,78707,458,1805,955,850,385,21.3,898,643,255,1876,1694,3,0,4,5
13654,870,71389,82762,582,2354,1188,1166,529,22.5,1079,870,209,2370,2335,4,1,0,0
13655,1305,69089,72102,1018,3697,1705,1992,736,19.9,1314,1305,9,3705,424,24,2887,200,0
13656,1042,62250,75342,700,2942,1488,1454,474,16.1,1190,1042,148,2945,2683,145,0,12,10
13658,912,62102,88079,547,1995,991,1004,249,12.5,1028,912,116,2028,1967,0,0,0,0
13659,140,59423,78651,125,367,212,155,41,11.2,362,140,222,371,357,0,3,0,0
13660,688,71964,89035,546,1930,982,948,353,18.3,757,688,69,1953,1850,4,3,11,0
13661,743,83192,94310,579,1976,961,1015,170,8.6,1227,743,484,2043,1892,0,0,25,5
13662,7067,56987,78399,3627,15279,7640,7639,3026,19.8,7785,7067,718,15737,14837,106,94,97,5
13664,152,75909,83226,86,401,204,197,102,25.4,267,152,115,401,349,14,0,1,10
13665,287,59625,66539,174,686,312,374,155,22.6,345,287,58,686,667,13,0,0,0
13666,89,32679,40313,42,236,111,125,85,36,158,89,69,236,164,9,0,0,7
13667,1379,57114,68937,1080,3460,1769,1691,709,20.5,1597,1379,218,3460,3218,4,56,11,0
13668,1333,78286,87450,938,3304,1638,1666,438,13.3,1494,1333,161,3313,3165,25,14,0,20
13669,5966,66488,80065,3577,14106,6947,7159,2300,16.3,7419,5966,1453,15615,14220,656,56,79,202
13670,166,32500,46551,126,382,188,194,91,23.8,409,166,243,382,374,0,1,1,0
13672,178,73448,69737,122,408,188,220,35,8.6,418,178,240,408,393,0,0,0,0
13673,714,75758,87259,529,1803,904,899,234,13,871,714,157,1983,1721,19,9,29,14
13674,61,-,73039,27,154,93,61,17,11,61,61,0,154,154,0,0,0,0
13675,16,-,N,11,51,16,35,0,0,38,16,22,51,46,0,0,0,0
13676,5221,56900,76430,2594,11483,5712,5771,1983,17.3,5955,5221,734,13408,12155,257,26,406,72
13678,19,-,N,0,19,0,19,0,0,47,19,28,19,19,0,0,0,0
13679,468,102826,118046,379,1133,625,508,118,10.4,1325,468,857,1169,1102,0,2,22,0
13680,446,73000,75849,353,1412,694,718,388,27.5,502,446,56,1417,1385,0,0,7,0
13681,382,46797,56821,250,941,497,444,193,20.5,461,382,79,941,881,1,0,0,5
13682,299,84375,95782,217,795,410,385,44,5.5,343,299,44,795,744,0,0,4,0
13683,19,-,N,19,58,24,34,58,100,19,19,0,58,0,0,58,0,0
13684,458,56250,67015,296,1105,540,565,259,23.4,711,458,253,1105,1058,15,2,3,0
13685,1061,85195,93658,626,2226,1099,1127,252,11.3,1444,1061,383,2234,2054,19,2,14,23
13687,195,43355,69294,118,415,246,169,67,16.1,529,195,334,421,417,0,4,0,0
13690,272,58611,77191,164,644,369,275,186,28.9,477,272,205,651,539,26,10,0,8
13691,1173,75750,88400,749,3112,1799,1313,290,9.3,1692,1173,519,3172,2655,30,10,80,6
13692,80,161500,288273,70,216,111,105,0,0,515,80,435,216,216,0,0,0,0
13693,160,44375,66543,99,315,147,168,26,8.3,1019,160,859,315,310,0,0,5,0
13694,526,77308,92739,343,1232,534,698,138,11.2,607,526,81,1232,1139,7,4,8,0
13695,48,116250,112410,38,114,58,56,10,8.8,161,48,113,169,169,0,0,0,0
13696,89,55401,43379,36,188,90,98,0,0,89,89,0,188,188,0,0,0,0
13697,850,73324,115004,598,1951,945,1006,139,7.1,877,850,27,1951,1840,0,0,0,0
13699,0,-,-,0,0,0,0,0,-,4,0,4,2123,1685,139,0,168,40
13730,1280,61466,68378,737,2752,1291,1461,343,12.5,1595,1280,315,2763,2605,10,1,24,4
13731,548,76429,104148,331,1102,568,534,141,12.8,1165,548,617,1102,1020,0,0,9,0
13732,3056,89180,122961,2107,7430,3783,3647,629,8.5,3162,3056,106,7438,6784,83,0,137,149
13733,2315,59019,71432,1284,5259,2897,2362,528,10,2637,2315,322,5265,5095,26,0,19,13
13734,909,66343,71867,646,2186,1220,966,223,10.2,959,909,50,2243,2124,53,5,0,1
13736,793,64934,83460,567,1884,946,938,229,12.2,868,793,75,1887,1800,0,0,0,38
13738,8,-,N,8,22,14,8,0,0,38,8,30,22,22,0,0,0,0
13739,341,61719,80008,201,792,410,382,85,10.7,564,341,223,792,770,0,0,13,0
13740,252,78333,121808,160,607,371,236,68,11.2,491,252,239,607,539,12,1,4,9
13743,1294,56919,82953,758,2893,1444,1449,447,15.5,1474,1294,180,2893,2768,0,0,8,11
13744,425,63125,86373,316,1283,642,641,360,28.1,472,425,47,1284,1262,1,0,0,1
13746,1061,58250,88375,731,2427,1260,1167,419,17.3,1145,1061,84,2432,2140,4,1,11,18
13747,0,-,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
13748,1735,68486,81214,1080,3722,2016,1706,296,8,1894,1735,159,3722,3326,23,0,0,277
13750,235,64940,93009,154,588,291,297,20,3.4,499,235,264,588,578,0,0,0,0
13751,93,154761,206606,93,334,124,210,0,0,108,93,15,334,334,0,0,0,0
13752,364,71667,130650,175,913,584,329,149,16.3,565,364,201,913,876,0,0,3,2
13753,1854,70991,91006,1136,4042,2014,2028,402,9.9,2339,1854,485,5629,5092,89,0,137,107
13754,1205,59583,77608,797,2793,1397,1396,528,18.9,1990,1205,785,2793,2677,17,1,11,28
13755,346,49205,63879,211,737,338,399,171,23.2,714,346,368,737,688,0,7,0,31
13756,295,71458,86472,182,649,324,325,43,6.6,669,295,374,665,646,13,0,5,0
13757,511,72557,80201,293,1118,545,573,69,6.2,675,511,164,1121,1070,0,0,0,0
13760,19350,63242,85287,11130,42333,20825,21508,6350,15,20988,19350,1638,42880,36627,1839,110,818,528
13774,95,68083,80980,85,230,114,116,0,0,167,95,72,230,211,0,0,0,0
13775,794,76875,101194,490,1821,1063,758,205,11.3,1041,794,247,1839,1686,7,0,3,40
13776,170,72000,110402,109,395,204,191,26,6.6,237,170,67,395,374,0,0,5,0
13777,166,71500,96181,144,445,246,199,16,3.6,230,166,64,445,445,0,0,0,0
13778,2244,67050,83421,1354,5044,2520,2524,570,11.3,2702,2244,458,5139,4849,16,1,21,115
13780,330,75278,106046,210,842,341,501,41,4.9,553,330,223,842,775,0,0,0,0
13782,316,51719,76943,189,797,425,372,93,11.7,643,316,327,797,746,7,1,0,1
13783,1036,56176,70005,588,2190,1146,1044,262,12,1918,1036,882,2200,2055,29,0,56,20
13784,142,73265,58289,129,373,214,159,122,32.7,147,142,5,383,329,0,0,0,0
13786,214,50833,71283,108,438,249,189,59,13.5,310,214,96,440,375,11,0,9,0
13787,1366,66733,75275,723,3120,1771,1349,228,7.3,1678,1366,312,3120,2868,2,0,68,73
13788,413,95329,105277,274,950,500,450,125,13.2,646,413,233,950,827,27,0,14,4
13790,8388,54764,75643,4217,18062,8714,9348,3316,18.4,9585,8388,1197,18560,14140,1136,19,1530,115
13795,1497,56847,74740,863,3172,1362,1810,506,16,1547,1497,50,3180,2490,128,0,88,311
13796,401,63750,88655,250,908,446,462,62,6.8,566,401,165,915,850,7,1,0,18
13797,808,71250,87618,584,2105,1031,1074,418,19.9,856,808,48,2105,2022,11,0,0,0
13801,684,66985,85427,463,1524,850,674,210,13.8,1042,684,358,1533,1471,4,0,0,4
13802,605,-,59970,260,1206,552,654,513,42.5,611,605,6,1206,1193,0,0,0,0
13803,1505,62537,79663,1018,3881,1859,2022,547,14.1,1715,1505,210,3936,3794,0,2,11,5
13804,110,58056,57527,63,255,145,110,52,20.4,209,110,99,266,265,0,0,0,0
13806,66,-,91823,45,168,85,83,25,14.9,70,66,4,168,98,0,0,10,6
13807,471,86250,101621,345,1260,578,682,99,7.9,719,471,248,1260,1163,9,0,57,0
13808,586,60682,96449,364,1476,742,734,165,11.2,751,586,165,1486,1430,4,5,0,0
13809,670,56071,66184,383,1688,724,964,194,11.5,843,670,173,1688,1628,0,0,0,0
13810,510,90577,99367,323,1166,547,619,200,17.2,648,510,138,1195,1104,3,0,3,2
13811,1716,80900,90561,1154,4102,2062,2040,390,9.5,1854,1716,138,4102,3850,14,0,82,0
13812,912,74450,95660,641,2313,1147,1166,72,3.1,997,912,85,2313,2275,0,0,0,0
13813,308,83952,88655,252,1148,633,515,5,0.4,412,308,104,1148,1131,8,0,0,0
13814,8,-,N,5,28,19,9,0,0,8,8,0,28,16,0,0,0,0
13815,5554,59757,81738,3254,12435,6088,6347,1648,13.3,6445,5554,891,12855,11627,152,38,74,431
13820,8156,66217,84736,4648,18360,9280,9080,3384,18.4,10083,8156,1927,22954,19710,1218,65,402,424
13825,1232,73966,83869,754,2785,1583,1202,180,6.5,1573,1232,341,2785,2524,19,0,98,9
13826,39,-,N,6,68,62,6,0,0,39,39,0,68,62,0,0,0,0
13827,4770,70796,98754,2991,11397,5574,5823,1973,17.3,5108,4770,338,11713,10984,106,0,136,160
13830,1981,62267,73700,1338,4715,2375,2340,606,12.9,2452,1981,471,4826,4602,45,0,38,57
13832,193,70625,84644,144,513,238,275,88,17.2,286,193,93,513,512,0,0,0,1
13833,1479,58533,82000,1071,4026,2134,1892,1076,26.7,1741,1479,262,4176,3967,0,7,14,0
13834,65,52974,45512,18,108,48,60,0,0,65,65,0,108,108,0,0,0,0
13835,527,71688,84243,315,1182,559,623,74,6.3,612,527,85,1182,1144,0,0,14,0
13838,1705,51287,61804,882,4163,1935,2228,903,21.7,2126,1705,421,4185,3609,81,0,0,0
13839,528,52292,70586,374,1360,758,602,223,16.4,877,528,349,1362,1225,0,0,10,24
13841,188,53125,82585,118,394,174,220,72,18.3,274,188,86,394,367,4,0,11,0
13842,218,78333,98311,123,569,295,274,82,14.4,353,218,135,607,494,32,30,9,9
13843,738,76583,89094,608,2001,947,1054,161,8,913,738,175,2014,1900,8,0,7,21
13844,195,66635,74734,152,491,250,241,86,17.5,247,195,52,543,534,0,0,0,0
13846,145,29609,38786,64,259,108,151,54,20.8,199,145,54,259,256,3,0,0,0
13847,12,-,N,2,15,13,2,0,0,12,12,0,15,15,0,0,0,0
13849,1897,55884,80864,1070,4333,1864,2469,566,13.1,2472,1897,575,4351,4129,3,3,83,0
13850,9392,81627,123346,5887,23288,11550,11738,3239,13.9,10427,9392,1035,23675,18679,531,30,2766,483
13856,2748,48852,67099,1656,5915,2940,2975,1472,24.9,3652,2748,904,5915,5336,289,0,19,0
13859,48,68182,70415,44,119,49,70,0,0,61,48,13,119,104,0,0,0,0
13860,87,138967,112084,65,266,127,139,0,0,87,87,0,266,266,0,0,0,0
13861,292,57047,81166,117,450,296,154,1,0.2,317,292,25,450,412,0,28,0,0
13862,1468,61623,80807,964,3667,1849,1818,532,14.5,1674,1468,206,3667,3504,48,0,0,15
13863,177,71188,78522,98,430,229,201,56,13,310,177,133,430,403,2,0,14,0
13864,763,53015,63689,384,1421,657,764,416,29.3,763,763,0,1421,1056,36,0,0,309
13865,2584,71302,79479,1765,5771,3130,2641,585,10.1,3127,2584,543,5823,5532,44,0,12,2
13901,8641,54165,77248,4450,19530,9158,10372,4358,22.3,10148,8641,1507,19730,16076,1212,55,407,564
13902,0,-,-,0,0,0,0,0,-,0,0,0,6921,5946,31,0,824,92
13903,7858,61244,81758,4383,17503,8346,9157,2893,16.5,8620,7858,762,17528,14164,1689,0,213,292
13904,3644,56794,66982,2168,8801,4321,4480,1787,20.3,3962,3644,318,9138,6760,1183,0,250,529
13905,11572,53757,80701,5119,27080,13801,13279,8389,31,13774,11572,2202,28370,19890,3018,51,2868,607
14001,3994,73786,88777,2475,9063,4185,4878,527,5.8,4477,3994,483,9122,8548,50,35,59,41
14004,4235,88011,99244,3112,10279,5210,5069,512,5,4386,4235,151,11312,10266,695,2,33,129
14005,643,94931,113058,475,1745,920,825,81,4.6,674,643,31,1788,1558,2,2,0,29
14006,4153,62019,74015,2610,9308,4373,4935,1221,13.1,5012,4153,859,9354,8715,190,6,118,22
14008,632,68452,83599,417,1484,663,821,57,3.8,658,632,26,1484,1181,60,0,6,84
14009,2727,61715,80616,1565,5787,2771,3016,599,10.4,2877,2727,150,5787,5453,0,0,133,0
14011,2185,73750,92197,1409,5229,2658,2571,466,8.9,2332,2185,147,7382,5695,1073,43,70,371
14012,1132,72333,87930,836,2940,1497,1443,403,13.7,1375,1132,243,2944,2370,246,103,20,7
14013,631,73350,79346,420,1479,693,786,179,12.1,653,631,22,1612,1155,17,191,18,0
14020,10371,59834,80363,5492,21562,10862,10700,2688,12.5,10930,10371,559,22209,19581,647,9,251,327
14024,620,73125,85880,406,1596,819,777,205,12.8,831,620,211,1606,1507,17,0,22,17
14025,1529,109542,125180,1122,3375,1679,1696,170,5,1692,1529,163,3445,3124,7,0,63,119
14026,307,86023,92267,151,561,265,296,0,0,376,307,69,561,538,0,0,0,0
14027,57,-,114305,24,143,82,61,34,23.8,57,57,0,143,126,0,14,0,0
14028,670,73571,86129,377,1363,682,681,77,5.6,794,670,124,1377,1274,11,0,10,1
14029,19,-,77605,9,31,14,17,11,35.5,40,19,21,31,31,0,0,0,0
14030,743,84792,90221,493,2044,995,1049,274,13.4,791,743,48,2051,1969,4,24,19,0
14031,4129,99639,147490,2616,9545,4830,4715,927,9.7,4539,4129,410,9741,8602,60,0,87,422
14032,3786,160079,199315,2961,10285,5291,4994,406,3.9,3936,3786,150,10359,9588,103,14,193,11
14033,660,84167,94304,466,1412,701,711,103,7.3,727,660,67,1412,1393,0,0,0,0
14034,789,61384,86227,479,1738,899,839,99,5.7,865,789,76,2175,1795,245,19,27,55
14035,26,91250,99569,18,69,41,28,2,2.9,47,26,21,69,69,0,0,0,0
14036,2396,91806,98208,1733,5745,2917,2828,491,8.5,2521,2396,125,5745,5591,74,0,0,7
14037,382,87955,111276,243,923,452,471,75,8.1,382,382,0,923,828,0,0,0,0
14039,49,-,65727,27,101,46,55,10,9.9,49,49,0,101,93,0,0,0,0
14040,600,85820,98718,452,1633,874,759,33,2,620,600,20,1635,1621,0,0,0,0
14041,86,-,72656,39,204,119,85,42,20.6,114,86,28,204,136,0,0,14,0
14042,1819,50625,68778,1200,4160,2066,2094,847,20.4,2052,1819,233,4207,3944,14,5,0,102
14043,11224,73373,89338,6361,24752,11891,12861,1746,7.1,11743,11224,519,24799,22816,573,37,359,242
14047,2571,76525,88743,1615,6072,3217,2855,907,14.9,2707,2571,136,6072,5823,58,13,0,15
14048,6775,52971,65354,3893,14754,7766,6988,3275,22.2,7506,6775,731,14949,10048,1015,78,22,1965
14051,8211,126895,154579,6054,20333,10235,10098,826,4.1,8424,8211,213,20333,16917,420,31,1903,231
14052,7090,103474,129776,5172,17070,8413,8657,522,3.1,7603,7090,513,17501,16732,81,45,59,61
14054,555,80903,100968,407,1359,757,602,105,7.7,571,555,16,1359,1194,36,3,0,18
14055,682,48621,85352,343,1300,594,706,103,7.9,709,682,27,1300,1296,0,0,0,4
14056,104,-,36914,95,205,48,157,0,0,104,104,0,205,205,0,0,0,0
14057,3090,88750,101266,2139,7479,3940,3539,719,9.6,3230,3090,140,7632,7347,82,6,63,52
14058,865,102039,96861,685,2649,1334,1315,189,7.1,915,865,50,2649,2051,18,1,0,101
14059,3630,101698,152268,2714,9413,4875,4538,260,2.8,3803,3630,173,9413,9189,6,6,25,13
14060,167,79145,82629,116,346,201,145,13,3.8,215,167,48,346,317,0,1,0,0
14061,36,-,99353,31,101,62,39,15,14.9,36,36,0,101,86,0,5,0,0
14062,1330,74667,77605,864,3220,1521,1699,467,14.5,1489,1330,159,3220,2988,6,1,35,0
14063,5309,55629,77262,2860,10757,5188,5569,2124,19.7,5861,5309,552,12722,10760,502,8,296,557
14065,670,61125,80479,460,1761,834,927,316,17.9,738,670,68,1769,1684,0,1,42,0
14066,471,69688,78771,301,990,480,510,101,10.2,531,471,60,1004,965,0,0,9,4
14067,1750,90625,108163,1119,4000,1818,2182,208,5.2,1933,1750,183,4063,3800,115,55,2,12
14068,3189,120021,134981,2072,8122,4171,3951,1184,14.6,3439,3189,250,8504,6877,349,0,498,10
14069,251,56360,79629,138,492,215,277,50,10.2,262,251,11,492,432,2,0,0,2
14070,2216,51620,70182,1318,5244,2577,2667,613,11.7,2589,2216,373,5437,4572,75,568,14,47
14072,8874,107036,129756,6048,21344,10659,10685,1066,5,9053,8874,179,21441,19467,435,70,435,197
14075,19527,82083,105585,12099,43962,20457,23505,2720,6.2,20164,19527,637,44588,41382,618,95,260,252
14080,1931,76674,100234,1222,4425,2322,2103,413,9.3,2108,1931,177,4434,4297,36,0,0,0
14081,1085,63672,78124,731,2573,1326,1247,491,19.1,1470,1085,385,2736,1664,51,614,55,28
14082,175,102563,112651,151,566,326,240,10,1.8,175,175,0,566,517,38,1,0,0
14083,10,-,N,10,20,10,10,0,0,10,10,0,20,20,0,0,0,0
14085,3044,124286,131534,2468,8332,4050,4282,359,4.3,3135,3044,91,8439,7909,59,0,47,38
14086,15124,95949,116497,9788,35389,17302,18087,1245,3.5,15486,15124,362,35659,33877,496,46,289,144
14091,522,80086,116328,354,1402,711,691,373,26.6,588,522,66,1402,837,55,213,6,0
14092,4997,67835,94524,2636,10090,4783,5307,1071,10.6,5241,4997,244,10318,9329,41,128,120,16
14094,21548,73354,93874,13596,49856,24051,25805,5507,11,23283,21548,1735,50526,43234,2982,113,348,606
14098,1124,73750,88257,856,2958,1524,1434,463,15.7,1591,1124,467,2968,2836,20,0,0,30
14101,769,70083,72297,516,1883,954,929,369,19.6,1073,769,304,1984,1884,0,0,0,5
14102,655,122659,135701,520,1894,1109,785,16,0.8,655,655,0,1894,1801,0,0,0,0
14103,4464,68781,80209,2851,10602,5425,5177,1087,10.3,4769,4464,305,10836,9076,423,85,191,523
14105,1917,85208,93034,1491,5105,2549,2556,274,5.4,2149,1917,232,5113,4966,5,19,0,6
14108,2165,72977,90885,1321,5166,2738,2428,372,7.2,2354,2165,189,5301,5046,32,21,9,16
14109,0,-,-,0,0,0,0,0,-,0,0,0,1341,877,208,13,42,96
14111,1302,79474,87844,812,3092,1624,1468,281,9.1,1390,1302,88,3125,2981,2,24,0,49
14112,12,-,N,12,38,26,12,0,0,12,12,0,38,38,0,0,0,0
14113,282,95313,89981,175,646,366,280,34,5.3,367,282,85,646,640,0,0,0,2
14120,19314,76608,93533,12040,43931,21783,22148,4453,10.1,20367,19314,1053,44379,40662,1026,32,406,445
14125,1449,63603,76751,978,3662,1831,1831,752,20.5,1470,1449,21,3668,3226,64,11,0,113
14126,94,148462,219661,57,301,204,97,0,0,269,94,175,301,301,0,0,0,0
14127,13050,106071,138960,8448,30465,15196,15269,2140,7,13412,13050,362,30783,28436,399,80,42,773
14129,467,68036,83654,283,1228,616,612,177,14.4,515,467,48,1228,925,16,121,2,66
14130,40,69000,67005,32,110,65,45,4,3.6,53,40,13,110,106,1,0,0,0
14131,2007,91424,105567,1487,5311,2560,2751,332,6.3,2198,2007,191,5339,5021,83,0,0,16
14132,2266,102244,129400,1707,6282,3197,3085,412,6.6,2372,2266,106,6432,5805,34,120,310,8
14134,30,-,54137,16,57,24,33,14,24.6,30,30,0,57,57,0,0,0,0
14135,53,-,156711,27,96,61,35,21,21.9,73,53,20,109,109,0,0,0,0
14136,2257,68875,80341,1440,5254,2519,2735,614,11.7,2699,2257,442,5274,4867,60,30,0,28
14138,790,57239,68894,529,1980,1049,931,523,26.4,940,790,150,2019,1762,0,6,0,216
14139,837,78317,95578,562,2066,1099,967,143,6.9,871,837,34,2093,1999,26,0,0,15
14141,3216,71837,104813,2132,7498,4042,3456,724,9.7,3675,3216,459,7624,7390,47,13,24,29
14143,482,94688,97923,350,1212,698,514,89,7.3,550,482,68,1230,1044,25,0,0,0
14145,535,87708,96979,370,1245,660,585,54,4.3,552,535,17,1275,1113,0,0,0,162
14150,19397,70294,85230,10601,41410,20184,21226,4171,10.1,20152,19397,755,41585,36741,1526,40,693,351
14166,75,96616,125875,75,182,106,76,0,0,281,75,206,182,182,0,0,0,0
14167,840,69110,80901,535,1931,1075,856,188,9.7,936,840,96,1931,1814,19,0,5,0
14168,39,73438,98067,27,90,36,54,8,8.9,39,39,0,90,70,0,8,0,0
14169,74,59149,61568,0,84,57,27,0,0,74,74,0,84,84,0,0,0,0
14170,841,112665,142605,676,2200,1065,1135,62,2.8,964,841,123,2200,2044,0,0,0,0
