zipcode,Households!!Total,Households!!Median income (dollars),Households!!Mean income (dollars),Families!!Total,Total!!Population for whom poverty status is determined,Total!!Population for whom poverty status is determined!!SEX!!Male,Total!!Population for whom poverty status is determined!!SEX!!Female,Below poverty level!!Population for whom poverty status is determined,Percent below poverty level!!Population for whom poverty status is determined,"Total number of housing units
",Total number of Occupied housing units,Total number of vacant housing units,Total population,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Some Other Race
13334,410,50875,64132,245,887,502,385,141,15.9,783,410,373,887,842,23,0,0,4
13335,462,54048,67059,286,1366,733,633,384,28.1,613,462,151,1388,1293,15,0,0,9
13337,357,74821,115367,211,690,306,384,22,3.2,486,357,129,690,624,12,0,9,0
13338,608,58393,82718,307,1289,671,618,128,9.9,1495,608,887,1293,1272,4,8,0,0
13339,2208,57885,74186,1356,6102,3235,2867,727,11.9,2703,2208,495,6131,5838,93,7,0,26
13340,3265,69928,95234,2021,7306,3696,3610,477,6.5,3427,3265,162,7322,6699,181,0,34,103
13342,83,81023,79205,50,263,149,114,12,4.6,83,83,0,263,213,0,0,0,0
13343,693,68514,76218,474,1534,845,689,159,10.4,1179,693,486,1543,1503,3,1,2,5
13345,83,51250,68228,36,184,84,100,38,20.7,126,83,43,184,168,16,0,0,0
13346,1737,65391,102037,1022,3579,1913,1666,475,13.3,2261,1737,524,6275,5430,306,0,214,122
13348,616,77903,94081,396,1529,839,690,113,7.4,732,616,116,1529,1477,7,0,0,0
13350,4221,62548,77041,2375,9047,4380,4667,1453,16.1,4709,4221,488,9641,8714,154,0,148,117
13352,1,-,N,1,21,20,1,0,0,41,1,40,21,18,0,0,0,0
13353,31,79375,94484,17,54,25,29,2,3.7,278,31,247,54,52,0,1,0,0
13354,1241,92750,105536,892,3124,1557,1567,182,5.8,1259,1241,18,3124,3044,5,0,13,0
13355,318,70250,177953,214,883,471,412,28,3.2,391,318,73,883,841,0,0,13,0
13357,4488,62500,72824,2619,9888,4789,5099,1503,15.2,5101,4488,613,10073,9346,56,6,31,46
13360,73,117708,127251,40,193,118,75,14,7.3,819,73,746,193,193,0,0,0,0
13361,240,100000,99588,185,666,335,331,84,12.6,314,240,74,666,632,4,0,0,0
13363,927,88427,108180,689,2290,1124,1166,162,7.1,1017,927,90,2290,2169,17,0,0,18
13364,131,77739,82740,119,359,162,197,73,20.3,147,131,16,359,291,0,0,6,0
13365,3367,60458,81924,2081,8460,4420,4040,1632,19.3,4066,3367,699,8545,7928,77,0,4,133
13367,3624,70781,83956,2592,8621,4196,4425,951,11,4546,3624,922,8786,8049,160,6,21,133
13368,420,60000,65803,310,1025,471,554,122,11.9,561,420,141,1025,1004,3,0,0,0
13402,541,62204,68578,385,1290,565,725,259,20.1,712,541,171,1295,1246,3,0,0,3
13403,1952,100060,109118,1230,4786,2432,2354,353,7.4,2082,1952,130,7133,5859,806,29,92,223
13404,63,-,60062,32,162,81,81,0,0,63,63,0,162,156,0,0,0,0
13406,168,98000,89743,128,485,264,221,47,9.7,222,168,54,491,489,0,0,0,0
13407,2088,72700,85285,1383,5087,2601,2486,690,13.6,2283,2088,195,5125,4729,13,0,69,24
13408,786,64762,83649,474,1996,1041,955,121,6.1,984,786,198,3422,2834,171,3,226,96
13409,869,69103,78684,610,2117,1088,1029,225,10.6,966,869,97,2123,2052,0,13,0,0
13410,321,-,48774,146,575,233,342,148,25.7,361,321,40,575,499,0,0,3,0
13411,1169,58651,74067,779,2855,1496,1359,565,19.8,1484,1169,315,2920,2794,2,0,6,14
13413,7091,91899,131642,4531,16143,7219,8924,904,5.6,7537,7091,446,16940,14998,173,41,735,420
13415,45,85417,147298,27,92,55,37,23,25,45,45,0,92,89,0,0,0,0
13416,859,83125,86942,574,2120,1036,1084,256,12.1,973,859,114,2120,2032,12,0,0,1
13417,1653,56055,68154,720,3012,1470,1542,268,8.9,1869,1653,216,3012,2968,2,0,30,0
13418,67,113125,110060,51,186,123,63,7,3.8,92,67,25,186,186,0,0,0,0
13420,430,107770,107763,354,890,444,446,47,5.3,2441,430,2011,890,860,25,0,0,0
13421,5573,63732,89814,3094,12604,5976,6628,1437,11.4,5953,5573,380,12742,11776,95,42,56,272
13424,956,90179,120202,632,1992,1060,932,154,7.7,1023,956,67,2285,1890,92,1,180,11
13425,741,64628,100161,466,1743,953,790,186,10.7,803,741,62,1743,1683,3,0,10,11
13428,650,73250,87841,346,1413,660,753,214,15.1,742,650,92,1470,1420,4,0,1,12
13431,742,83200,94955,581,1923,1036,887,199,10.3,830,742,88,1929,1815,5,5,28,0
13433,691,49696,58866,424,1708,877,831,294,17.2,898,691,207,1708,1664,5,0,0,9
13435,122,46413,66632,69,300,136,164,0,0,150,122,28,337,259,61,0,0,0
13436,48,74167,74154,22,85,38,47,14,16.5,487,48,439,107,94,13,0,0,0
13437,131,48375,59798,68,254,153,101,38,15,645,131,514,254,244,0,0,0,0
13438,1412,68140,90374,971,3298,1585,1713,378,11.5,1944,1412,532,3310,3195,28,0,14,6
13439,1403,63681,89797,915,3667,1800,1867,496,13.5,2192,1403,789,3667,3535,16,0,27,10
13440,17645,65497,83024,10372,39396,19912,19484,5896,15,19286,17645,1641,41273,35385,1673,41,611,938
13441,92,95857,84351,28,123,53,70,0,0,92,92,0,145,145,0,0,0,0
13450,68,62000,81387,50,217,158,59,3,1.4,99,68,31,251,251,0,0,0,0
13452,1878,65890,76388,1153,4724,2419,2305,835,17.7,2216,1878,338,4850,4486,16,1,0,83
13454,335,100156,83950,271,743,333,410,83,11.2,418,335,83,754,705,0,0,0,5
13455,25,-,N,25,71,46,25,0,0,25,25,0,71,63,0,0,0,0
